protac,warhead,linker_id,e3_ligand
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCOCCCCOCCCCOCCCCOCCCCCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C(C)(C)C)C=C2)SC=N1,[R1]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O,76,[R2]C(=O)N[C@H](C(=O)N1C[C@@H](C[C@H]1C(=O)NCC2=CC=C(C=C2)C3=C(N=CS3)C)O)C(C)(C)C
CC(=O)C1=C(C)C2=CN=C(NC3=CC=C(N4CCN(CCOCCOCCOC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)C=N3)N=C2N(C2CCCC2)C1=O,[R1]N1CCN(CC1)C2=CN=C(C=C2)NC3=NC=C4C(=C(C(=O)N(C4=N3)C5CCCC5)C(=O)C)C,86,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O
COC1=CC(/C=C(\C#N)C(=O)NCCCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)NCC2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)=CC=C1OCC1=CC=C(C(F)(F)F)C=C1C(F)(F)F,[R1]NC(=O)/C(=C/C1=CC(=C(C=C1)OCC2=C(C=C(C=C2)C(F)(F)F)C(F)(F)F)OC)/C#N,25,[R2]C(=O)N[C@H](C(=O)N1C[C@@H](C[C@H]1C(=O)NCC2=CC=C(C=C2)C3=C(N=CS3)C)O)C(C)(C)C
COC1=CC(/C=C(\C#N)C(=O)NCCOCCOCCOCCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)NCC2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)=CC=C1OCC1=CC=C(C(F)(F)F)C=C1C(F)(F)F,[R1]NC(=O)/C(=C/C1=CC(=C(C=C1)OCC2=C(C=C(C=C2)C(F)(F)F)C(F)(F)F)OC)/C#N,14,[R2]C(=O)N[C@H](C(=O)N1C[C@@H](C[C@H]1C(=O)NCC2=CC=C(C=C2)C3=C(N=CS3)C)O)C(C)(C)C
NC1=NC=NC2=C1C(C1=CC=C(OC3=CC=CC=C3)C=C1)=NN2[C@@H]1CCCN(CC(=O)NCCOCCOCC(=O)NCCOCCOC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C1,[R1]N1CCC[C@H](C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N,90,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O
O=C(CCCCCCC(=O)N/N=C/C1=CC=C(OCCOCCOCCN2C=C(CNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)N=N2)C=C1)NO,[R1]OC1=CC=C(C=C1)/C=N/NC(=O)CCCCCCC(=O)NO,112,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O
O=C(CCCCCCC(=O)N/N=C/C1=CC=C(OCCOCCOCCOCCN2C=C(CNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)N=N2)C=C1)NO,[R1]OC1=CC=C(C=C1)/C=N/NC(=O)CCCCCCC(=O)NO,113,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O
CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)NC1=CC=C(OCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)N=N4)C=C1)N=C2C1=CC=C(Cl)C=C1,[R1]C(=O)C[C@H]1C2=NN=C(N2C3=C(C(=C(S3)C)C)C(=N1)C4=CC=C(C=C4)Cl)C,117,[R2]NC1=CC=CC2=C1C(=O)N(N=N2)C3CCC(=O)NC3=O
CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)NC1=CC=CC(OCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)N=N4)=C1)N=C2C1=CC=C(Cl)C=C1,[R1]C(=O)C[C@H]1C2=NN=C(N2C3=C(C(=C(S3)C)C)C(=N1)C4=CC=C(C=C4)Cl)C,118,[R2]NC1=CC=CC2=C1C(=O)N(N=N2)C3CCC(=O)NC3=O
COC1=CC(OC)=C(/C=C/S(=O)(=O)CC2=CC=C(OC)C(NCC(=O)NCC(=O)NC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)=C2)C(OC)=C1,[R1]C(=O)CNC1=C(C=CC(=C1)CS(=O)(=O)/C=C/C2=C(C=C(C=C2OC)OC)OC)OC,119,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O
